id,label,category,year,author,desc,githubUrl,paperUrl,license,maintenance,verificationStatus,entityType,trainingScope,inferenceCost,speedTier,accuracyTier,lastReviewed,lastUpdated,supportsCharges,supportsSpins,elementsCovered,trainedDatasets
alignn,ALIGNN,Invariant,2021,NIST,Atomistic Line Graph Neural Network: augments the atomic graph with a line graph so bond angles and higher-order interactions are encoded explicitly.,https://github.com/usnistgov/alignn,https://arxiv.org/abs/2106.01829,Unlicense,maintained,verified,architecture,unknown,,,,2026-05-05,,false,false,all elements covered by JARVIS-DFT,
m3gnet,M3GNet,Invariant,2022,Materials Virtual Lab,Materials Graph Network with 3-body interactions; trained on Materials Project relaxations to give a universal potential over most of the periodic table.,https://github.com/materialsvirtuallab/m3gnet,https://arxiv.org/abs/2202.02450,BSD-3-Clause,archived,verified,trained_model,universal_foundation,,,,2026-05-05,2025-04-09,false,false,—,
chgnet,CHGNet,Invariant,2023,Berkeley (Ceder group),Charge-aware graph neural network that extends M3GNet with oxidation state and local charge features; particularly strong for battery and redox-active materials.,https://github.com/CederGroupHub/chgnet,https://arxiv.org/abs/2302.14231,BSD-3-Clause,maintained,verified,trained_model,universal_foundation,,,,2026-05-05,2025-09-22,true,true,all elements covered by MPTrj (~89 elements),
sevennet_nano,SevenNet-Nano,Equivariant,2026,Seoul Nat. Univ. (MDIL-SNU),"Lightweight universal MLIP distilled from the SevenNet-Omni teacher, delivering over an order-of-magnitude speedup while retaining broad transferability for scalable atomistic simulations on thousands of atoms.",https://github.com/MDIL-SNU/SevenNet,https://arxiv.org/abs/2604.10887,MIT,active,partially_verified,trained_model,universal_foundation,low,fast,unknown,2026-05-05,,false,false,all elements covered by SevenNet-Omni,
sevennet_omni,SevenNet-Omni,Equivariant,2026,Seoul Nat. Univ. (MDIL-SNU),"Multi-fidelity universal foundation MLIP built on the SevenNet-MF backbone and trained on 15 open datasets (~250M structures across molecules, crystals, and surfaces); serves as the teacher model for SevenNet-Nano.",https://github.com/MDIL-SNU/SevenNet,https://arxiv.org/abs/2510.11241,MIT,active,partially_verified,trained_model,universal_foundation,,,,2026-05-05,,false,false,all elements covered by combined open MLIP datasets (~89 elements),
pfp_v8,PFP v8,Transformer,2026,Preferred Networks / Matlantis,"Eighth release of the Preferred Potential: a universal MLIP trained on a large r2SCAN meta-GGA dataset, capable of reproducing 45 elements off-the-shelf across crystals, molecules, surfaces, and adsorption structures without fine-tuning. Distributed commercially via the Matlantis SaaS platform.",,https://arxiv.org/abs/2603.11063,proprietary,active,verified,trained_model,universal_foundation,,,,2026-05-05,,false,false,all elements up to Z=96 (PBE backbone) / 70 elements (r2SCAN),
orion,ORION,Descriptor,2026,Chen et al. (NEP framework),"Universal organic force field for C, H, O, N, S, P built within the Neuroevolution Potential (NEP) framework. Trained on a chemically rich dataset assembled through a unified top-down/bottom-up sampling strategy, providing a balanced description of bond breaking/formation, aromatic growth, hydrogen bonding, van der Waals interactions, and π-stacking; reaches near-DFT force accuracy while running ~200x faster than ReaxFF on identical hardware, enabling hundreds-of-nanoseconds reactive MD.",https://github.com/brucefan1983/GPUMD,https://arxiv.org/abs/2604.05769,GPL-3.0,active,verified,trained_model,domain_specific,,,,2026-05-05,,false,false,"C, H, O, N, S, P",
omni_p2x,OMNI-P2x,Descriptor,2026,"Martyka, Tong, Jankowska, Dral (Xiamen University)","First universal neural network potential for molecular ground and excited electronic states. An ensemble of MS-ANI-style invariant potentials trained on PubChemQC TD-DFT (B3LYP/6-31+G*) excited-state data combined with CCSD(T)/CBS ground-state energies from ANI-1ccx, with a separate head predicting oscillator strengths of interstate transitions. Approaches TD-DFT accuracy for UV/vis spectra and photodynamics at a fraction of the cost while outperforming semiempirical methods.",https://github.com/dralgroup/omni-p2x,https://chemrxiv.org/doi/10.26434/chemrxiv-2025-j207x,MIT,active,verified,trained_model,universal_foundation,,,,2026-05-05,,false,false,"H, C, N, O, F, S, Cl",
grace_off,GRACE-OFF,Equivariant,2026,"Picha, Karwounopoulos, Erhard, Boresch, Heid (TU Wien / U. Vienna)","GRACE-architecture MLIP for organic systems, trained on the SPICE v2.0 dataset and integrated with ASE for MD. Two-layer GRACE-OFF models outperform MACE-OFF (including MACE-OFF24(M)) on single-point energies, forces, torsional profiles, and condensed-phase properties of organic liquids and water; for water and hexane they also beat the much more expensive UMA(S) on densities and radial distribution functions. Established as an accurate, GPU-efficient foundation potential for organic-liquid and biomolecular MD.",https://github.com/heid-lab/grace-off,https://chemrxiv.org/doi/10.26434/chemrxiv.15001529,MIT,active,verified,trained_model,domain_specific,,,,2026-05-05,,false,false,"SPICE v2.0 organic chemistry coverage (H, C, N, O, F, P, S, Cl, Br, I, plus common ions)",
omnimol,OmniMol,Transformer,2026,"Elsharkawy, Mikuni, Bhimji, Nachman (LBNL / NERSC)","Transformer-based small-molecule MLIP that adapts the Omnilearned Point-Edge-Transformer (PET) foundation model — pre-trained on ~1 billion LHC particle jets — to molecular dynamics via cross-domain transfer learning. Uses an interaction-matrix attention bias to inject pairwise atomic physics into transformer attention; on the OMol25 dataset OmniMol-M outperforms a 1B-parameter baseline transformer with ~20× fewer parameters, demonstrating the first cross-discipline transfer for scientific point-cloud foundation models.",,https://arxiv.org/abs/2601.10791,,experimental,verified,trained_model,domain_specific,,,,2026-05-05,,false,false,—,omol25
hienet,HIENet,Equivariant,2025,"Yan, Bohde et al. (Texas A&M, divelab/AIRS)","Hybrid Invariant–Equivariant materials foundation potential that interleaves invariant and O(3)-equivariant message-passing layers to leverage invariant-layer scalability while reserving equivariant layers for high-order interactions. Force and stress are obtained as exact derivatives of a conservative energy, and the model achieves SOTA on Matbench Discovery while running ~90% faster than SevenNet-l3i5 and ~140% faster than EquiformerV2.",https://github.com/divelab/AIRS,https://arxiv.org/abs/2503.05771,GPL-3.0,active,verified,trained_model,universal_foundation,,,,2026-05-07,,false,false,all elements covered by MPTrj (~89 elements),
mace_mh1,MACE-MH-1,Equivariant,2026,"Batatia, Lin, Hart, Kasoar, Elena, Norwood, Wolf, Csányi (Cambridge / ACEsuit)","Cross-learning multi-head MACE foundation model that bridges molecular, surface, and inorganic crystal chemistry in a single MLIP. Enhances the MACE architecture with stronger element-weight sharing and non-linear tensor-decomposition product bases, then post-trains a multi-head replay scheme on OMAT-24 (PBE crystals), MPTraj, OMol (ωB97M-VV10), OC20 (surfaces), SPICE, RGD1, and MATPES-r2SCAN heads to unify electronic-structure theories.",https://github.com/ACEsuit/mace-foundations,https://arxiv.org/abs/2510.25380,MIT,active,verified,trained_model,universal_foundation,,,,2026-05-07,,false,false,all elements up to Z=89 (OMAT-24 / MPTraj coverage),omat24; mptrj; omol25; oc20; spice; rgd1; matpes
mgnn,MGNN,Invariant,2025,"Chang, Zhu (Wuhan University of Technology)","Moment Graph Neural Network: rotation-invariant message-passing architecture whose node and edge updates operate on Cartesian moment representations of 3D molecular graphs, capturing high-order angular structure without explicit equivariant tensor products. Reaches SOTA on QM9 and revised MD17 (incl. MD17-ethanol) and generalises to 3BPA and 25-element high-entropy alloys, including amorphous-electrolyte MD.",https://github.com/JakechiC/MGNN,https://arxiv.org/abs/2409.15800,,maintained,verified,architecture,unknown,,,,2026-05-07,,false,false,molecular CHNOFS plus 25-element high-entropy alloys,
hydragnn,HydraGNN-GFM,Equivariant,2026,"Lupo Pasini, Choi et al. (ORNL / NERSC)","Exascale multi-task atomistic graph foundation model built on the HydraGNN framework, with a PaiNN-based message-passing backbone selected via large-scale DeepHyper hyperparameter optimization on Frontier. Jointly pre-trained on 16 open first-principles datasets (~544M structures, 85+ elements) using shared message-passing layers and per-dataset output heads, scaled to 16,000 GPUs and able to evaluate 1.1 billion atomistic structures in 50 seconds for downstream materials screening.",https://github.com/ORNL/HydraGNN,https://arxiv.org/abs/2604.15380,BSD-3-Clause,active,verified,trained_model,universal_foundation,,,,2026-05-08,,false,false,85+ elements aggregated across 16 first-principles datasets,mptrj; omat24; oc20; ani1x; transition1x; omol25
qnep,qNEP,Descriptor,2026,"Fan, Tang, Berger, Fransson, Xu, Erhart et al. (GPUMD)","Charge-aware extension of the neuroevolution potential (NEP) framework that introduces explicit, environment-dependent partial charges represented per-ion by neural networks of the local descriptor vector. Implemented in GPUMD with both Ewald and particle-particle particle-mesh electrostatics, enabling Born-effective-charge tensors, dielectric properties, and infrared spectra alongside long-range MD scalable to million-atom systems on consumer GPUs.",https://github.com/brucefan1983/GPUMD,https://arxiv.org/abs/2601.19034,GPL-3.0,active,verified,architecture,unknown,,,,2026-05-08,,true,false,dataset-dependent (NEP descriptor framework),
petmad15,PET-MAD-1.5,Transformer,2026,"Mazitov, Bigi, Kellner, Pegolo, Tisi, Pozdnyakov, Loche, Kazeev, Fraux, Ceriotti et al. (EPFL / lab-cosmo)","Successor to PET-MAD: a generally applicable r²SCAN universal interatomic potential that extends elemental coverage to 102 elements via the curated MAD-1.5 dataset (~217k structures). Same Point Edge Transformer (PET) backbone with rotation-invariance learnt from data, retrained at the r²SCAN meta-GGA level with targeted enrichment strategies (molecules, clusters, surfaces, low-dimensional structures, bulk crystals) and uncertainty-quantification-driven outlier removal. Reported as more robust, more accurate, and faster than the original PET-MAD across challenging molecular dynamics benchmarks.",https://github.com/lab-cosmo/pet-mad,https://arxiv.org/abs/2603.02089,BSD-3-Clause,active,verified,trained_model,universal_foundation,,,,2026-05-09,,false,false,102 elements,
densnet,DenSNet,Equivariant,2026,"Lewis-Atwell, Saiz Pardo, Rieu, Loche, Bocus, Cersonsky, Ceriotti et al.","Density-first machine-learned electronic-structure framework that learns the Hohenberg-Kohn map from nuclear configurations to the ground-state electron density using an SE(3)-equivariant neural network predicting density coefficients of an atom-centred Gaussian basis, with a Δ-learning prior built from superposed atomic densities. A second equivariant network then maps the predicted density to the total energy, providing a unified framework for molecular dynamics, energies, forces, and electronic observables (dipole moments, polarizabilities, infrared spectra). Validated on ethanol, ethanethiol, resorcinol, and polythiophene oligomers (extrapolating from 1-6 to 12 monomers).",,https://arxiv.org/abs/2604.24563,,experimental,verified,architecture,domain_specific,,,,2026-05-09,,false,false,—,
pet_oam_xl,PET-OAM-XL,Transformer,2026,"Bigi, Pegolo, Mazitov, Ceriotti (EPFL / lab-cosmo)","Extra-large variant of the Point Edge Transformer (PET) trained with an OMat24 + sAlex + MPtrj recipe (the OAM data mixture). Pushes the limits of unconstrained MLIPs by trading explicit E(3) symmetry constraints for capacity, depth, and data, achieving the top position on the Matbench Discovery leaderboard at release. Configuration: d_pet 640, d_node 2560, 5 GNN layers + 3 attention layers, 10 Å cutoff with adaptive 40-neighbour cap, distributed via the upet package alongside the wider PET-MAD / PET-OMat / PET-SPICE family.",https://github.com/lab-cosmo/upet,https://arxiv.org/abs/2601.16195,BSD-3-Clause,active,verified,trained_model,universal_foundation,,,,2026-05-10,,false,false,all elements covered by OMat24 / MPtrj (~89 elements),
alphanet,AlphaNet,Equivariant,2026,"Yin, Zhang, Yang et al.","Local-frame-based equivariant interatomic potential that builds atom-centred frames with learnable geometric transitions, replacing the spherical-harmonic tensor products used by NequIP/MACE-style models with cheaper Cartesian-frame operations. Achieves SOTA accuracy and improved efficiency on Matbench Discovery and OC2M benchmarks across molecular reactions, crystal stability, and surface catalysis, with an OMat24-pretrained foundation variant (alphanet-v1-oam) released on the Matbench Discovery leaderboard.",https://github.com/zmyybc/AlphaNet,https://arxiv.org/abs/2501.07155,MIT,active,verified,architecture,universal_foundation,,,,2026-05-10,,false,false,all elements covered by OMat24 / MPtrj (~89 elements),
tace,TACE,Equivariant,2026,Xu et al.,"Tensor Atomic Cluster Expansion: a unified Cartesian-space framework that decomposes atomic environments into a complete hierarchy of irreducible Cartesian tensors, providing symmetry-consistent invariant and equivariant representations without spherical-harmonic Clebsch-Gordan overhead. Universal embeddings expose computational level, total charge, magnetic moments, and external-field perturbations as conditioning inputs, while a Latent Ewald Summation module handles long-range electrostatics. Released with an OMat24-pretrained foundation variant (tace-v1-oam-m) on the Matbench Discovery leaderboard, with TorchSim, LAMMPS-ML-IAP, and ASE calculators.",https://github.com/xvzemin/tace,https://arxiv.org/abs/2509.14961,MIT,active,verified,architecture,universal_foundation,,,,2026-05-10,,true,true,all elements covered by OMat24 / MPtrj (~89 elements),
transip,TransIP,Transformer,2026,"Elhag, Raja, Morehead, Blau, Zhao, Tyrchan, Nittinger, Morris, Bronstein (Oxford / LBNL / AstraZeneca / AITHYRA)","Transformer-based interatomic potential built on a generic, non-equivariant backbone that learns SO(3)-equivariance implicitly through a latent equivariance training objective rather than via architectural constraints. Replaces graph-based inductive biases and Clebsch-Gordan tensor products with a scalable embedding-space alignment loss, achieving 40–60% improvement over a data-augmentation baseline across varying OMol25 training-set sizes. Released with a TransIP-L checkpoint on Hugging Face and built on top of the fairchem framework.",https://github.com/Ahmed-A-A-Elhag/TransIP,https://arxiv.org/abs/2510.00027,MIT,active,verified,architecture,domain_specific,,,,2026-05-11,,true,true,elements present in OMol25 (organic + electrolyte + metal-complex chemistry),omol25
e2former,E2Former,Transformer,2025,"Li, Huang, Ding, Wang, Wei, Yang, Wang, Liu, Shi, Jin, Zhang, Gerstein, Qin (Microsoft Research / Yale)","Efficient and equivariant transformer that replaces conventional SO(3) spherical-tensor-product convolutions with a Wigner 6j convolution (Wigner 6j Conv), shifting the dominant compute from edges to nodes and reducing tensor-product complexity from O(|E|) to O(|V|) while preserving E(3) equivariance and expressive power. Achieves a 7×–30× speedup over standard SO(3) convolutions on benchmark interatomic-potential tasks (OC20, OC22, SPICE, MD17/MD22) at chemical accuracy. Released as a NeurIPS 2025 Spotlight and serves as the architectural foundation for the later E2Former-V2 / UBio-MolFM line.",https://github.com/liyy2/E2Former,https://arxiv.org/abs/2501.19216,MIT,active,verified,architecture,unknown,,,,2026-05-14,,false,false,dataset-dependent (OC20 / OC22 / SPICE coverage),
ubio_molfm,UBio-MolFM,Transformer,2026,"Huang, Jiang, Liu, Wang, Zhao, Wang, Lu, Huang, Cheng, Du, Zhang (UBio Team, IQuest Research)","Universal molecular foundation model engineered for biomolecular systems, combining three components: (i) UBio-Mol26, a ~17M-configuration bio-specific dataset built via a multi-fidelity two-pronged strategy that combines systematic bottom-up enumeration with top-down sampling of native protein environments up to ~1,200 atoms (proteins, nucleic acids, lipids, drug-like molecules, biologically important ions and metals); (ii) E2Former-V2, a linear-scaling equivariant transformer integrating Equivariant Axis-Aligned Sparsification (EAAS) and Long-Short Range (LSR) modelling for ~4× higher inference throughput on large systems; and (iii) a three-stage curriculum-learning protocol going from energy initialisation to energy-force consistency and multi-fidelity refinement. Targets ab-initio-level fidelity on out-of-distribution biomolecular systems up to ~1,500 atoms.",https://github.com/IQuestLab/UBio-MolFM,https://arxiv.org/abs/2602.17709,,experimental,verified,trained_model,domain_specific,,,,2026-05-14,,false,false,biological organic chemistry (CHNOPS + halogens) plus biologically important ions and metals,
fennix_bio1,FeNNix-Bio1,Equivariant,2026,"Plé, Adjoua, Benali, Posenitskiy, Villot, Lagardère, Piquemal (Sorbonne Université / Qubit Pharmaceuticals)","Force-field-enhanced foundation MLIP for drug design built on the FENNIX hybrid framework: an Allegro E(3)-equivariant local embedding (256 scalar features, 16 equivariant channels up to l_max=2, three interaction layers, 5.3 Å cutoff) coupled with physics-grounded energy terms — short-range ZBL repulsion, Coulomb electrostatics with fluctuating atom-centred charges, and explicit dispersion. Trained on an extended SPICE2 synthetic-QM dataset and integrated with Tinker-HP for reactive molecular dynamics including quantum nuclear effects. Sets a new sub-kcal/mol standard on the Freesolv hydration-free-energy benchmark and supports protein folding, protein-ligand binding free energies, and chemical reactions.",https://github.com/thomasple/FeNNol,https://doi.org/10.26434/chemrxiv-2025-f1hgn,LGPL-3.0,active,verified,trained_model,domain_specific,,,,2026-05-15,,true,false,"biomolecular elements (H, C, N, O, F, P, S, Cl, Br, I) plus Li, Na, K, Mg, Zn",
dtnn,DTNN,Invariant,2017,"Schütt, Arbabzadah, Chmiela, Müller, Tkatchenko",Deep Tensor Neural Network — the direct precursor to SchNet that introduced learned per-element embeddings refined by tensorised pairwise interaction blocks for quantum-chemical energies on QM9-style organic molecules.,https://github.com/atomistic-machine-learning/dtnn,https://www.nature.com/articles/ncomms13890,MIT,archived,verified,architecture,unknown,,,,2026-05-10,,false,false,dataset-dependent (organic molecules),
cgcnn,CGCNN,Invariant,2018,Xie & Grossman (MIT),Crystal Graph Convolutional Neural Network — the first GNN built explicitly on periodic crystal graphs with multi-edge bond convolutions. Foundational ancestor of nearly every later universal materials GNN (MEGNet / M3GNet / CHGNet) and a workhorse for materials property prediction.,https://github.com/txie-93/cgcnn,https://arxiv.org/abs/1710.10324,MIT,archived,verified,architecture,unknown,,,,2026-05-10,,false,false,all elements covered by Materials Project,
physnet,PhysNet,Invariant,2019,Unke & Meuwly (Basel),"Modular invariant message-passing potential that simultaneously predicts energies, forces, dipole moments, and partial charges with explicit electrostatic and dispersion energy terms. One of the first MLIPs that handled molecules with non-zero net charge through learnable atomic charges plus Coulomb correction.",https://github.com/MMunibas/PhysNet,https://arxiv.org/abs/1902.08408,MIT,archived,verified,architecture,unknown,,,,2026-05-10,,true,false,dataset-dependent (organic molecules),
megnet,MEGNet,Invariant,2019,"Chen, Ye, Zuo, Zheng, Ong (UCSD / Materials Virtual Lab)",MatErials Graph Network — universal graph network with global state attributes that unifies molecules and crystals in one framework. Direct architectural ancestor of M3GNet/CHGNet from the same group; widely used for materials property prediction.,https://github.com/materialsvirtuallab/megnet,https://pubs.acs.org/doi/10.1021/acs.chemmater.9b01294,BSD-3-Clause,maintained,verified,architecture,unknown,,,,2026-05-10,,false,false,all elements covered by Materials Project,
cormorant,Cormorant,Equivariant,2019,"Anderson, Hy, Kondor (Chicago)",Covariant Molecular Neural Network — an early end-to-end SO(3)-equivariant architecture using Clebsch-Gordan tensor products on irreducible representations of irreducible spherical tensors. Predates and informs the TFN/NequIP-style equivariant message-passing potential family.,https://github.com/risilab/cormorant,https://arxiv.org/abs/1906.04015,Custom (research),archived,verified,architecture,unknown,,,,2026-05-10,,false,false,dataset-dependent (organic molecules),
egnn,EGNN,Equivariant,2021,"Satorras, Hoogeboom, Welling (UvA)","E(n)-Equivariant Graph Neural Network: a simple, scalar-only equivariant architecture that achieves rotation/translation equivariance without higher-order tensor representations. Highly cited for its simplicity and broadly applied beyond MLIPs to generative modelling, protein structure, and dynamics.",https://github.com/vgsatorras/egnn,https://arxiv.org/abs/2102.09844,MIT,archived,verified,architecture,unknown,,,,2026-05-10,,false,false,dataset-dependent,
nep_orig,NEP,Descriptor,2021,"Fan, Wang, Ying et al. (Aalto / GPUMD)","Original Neuroevolution Potential — a per-element neural network on local descriptors trained with separable natural-evolution strategies rather than gradient descent. Designed for raw GPU throughput in the GPUMD code; ancestor of NEP89, qNEP, and ORION.",https://github.com/brucefan1983/GPUMD,https://arxiv.org/abs/2107.08119,GPL-3.0,active,verified,architecture,unknown,,,,2026-05-10,,false,false,dataset-dependent,
pfp_orig,PFP,Invariant,2022,Takamoto et al. (Preferred Networks),"Original Preferred Potential — first universal NNP covering 45 elements and the foundation of the commercial Matlantis SaaS platform. Predated the academic universal MLIP wave (M3GNet, CHGNet, MACE-MP) by over a year and demonstrated viable industrial-scale deployment.",,https://www.nature.com/articles/s41467-022-30687-9,proprietary,maintained,verified,trained_model,universal_foundation,,,,2026-05-10,,false,false,45 elements (Matlantis PFP-1.0),
equiformer_v1,Equiformer,Transformer,2022,Liao & Smidt (MIT Atomic Architects),Original Equivariant Graph Attention Transformer — combines graph attention with TFN-style E(3)-equivariant tensor representations and depthwise tensor-product MLPs. Direct ancestor of Equiformer V2 and V3; influential for attention-based equivariant MLIPs.,https://github.com/atomicarchitects/equiformer,https://arxiv.org/abs/2206.11990,MIT,archived,verified,architecture,unknown,,,,2026-05-10,,false,false,dataset-dependent,
scn,SCN,Transformer,2022,"Zitnick, Das, Goyal et al. (Meta FAIR)","Spherical Channels Network — represents atomic environments as multichannel spherical signals rotated into edge-aligned local frames, enabling efficient high-degree representations for OC20-class catalyst modelling. Direct precursor to eSCN and the Meta FAIR equivariant-transformer line.",https://github.com/Open-Catalyst-Project/ocp,https://arxiv.org/abs/2206.14331,MIT,archived,verified,architecture,domain_specific,,,,2026-05-10,,false,false,all elements covered by OC20 (~56 elements),
so3krates,SO3krates,Equivariant,2022,"Frank, Unke, Müller (TU Berlin)","SO(3)-equivariant attention on arbitrary length scales: factorises equivariant tensor products into invariant scalar attention plus an equivariant filter, enabling long-range-capable equivariant transformers. Foundation of the later SO3LR molecular response model.",https://github.com/thorben-frank/mlff,https://arxiv.org/abs/2205.14276,MIT,maintained,verified,architecture,unknown,,,,2026-05-10,,false,false,dataset-dependent (organic molecules),
visnet,ViSNet,Equivariant,2022,"Wang, Zhao, Cui et al. (Microsoft Research)",Vector-scalar interactive message passing potential that captures geometric information through coupled scalar and vector channels without explicit higher-order tensor algebra. Combines competitive accuracy on QM9/MD17/MD22 with practical efficiency for biomolecular MD.,https://github.com/microsoft/AI2BMD/tree/ViSNet,https://arxiv.org/abs/2210.16518,MIT,maintained,verified,architecture,unknown,,,,2026-05-10,,false,false,dataset-dependent,
dpa1,DPA-1,Descriptor,2022,"Zhang, Bi et al. (DeepModeling)","First-generation Deep Potential with Attention — pretrained Deep Potential descriptor model that introduces an attention layer to the DeepMD framework, enabling cross-domain transfer learning. Direct bridge between DeepMD and DPA-2 in the DeepModeling lineage.",https://github.com/deepmodeling/deepmd-kit,https://arxiv.org/abs/2208.08236,LGPL-3.0,maintained,verified,architecture,multi_domain,,,,2026-05-10,,false,false,dataset-dependent,
escn,eSCN,Transformer,2023,Passaro & Zitnick (Meta FAIR),"Reduces SO(3) tensor-product convolutions to SO(2) by aligning each pair to a common rotation axis, dramatically lowering the cost of high-degree equivariant convolutions. Direct precursor to Equiformer V2's higher-degree backbone and key SOTA on OC20 in 2023.",https://github.com/Open-Catalyst-Project/ocp,https://arxiv.org/abs/2302.03655,MIT,maintained,verified,architecture,domain_specific,,,,2026-05-10,,false,false,all elements covered by OC20 (~56 elements),
mace_off,MACE-OFF,Equivariant,2023,"Kovács, Moore, Browning, Batatia, Horton et al.","Transferable MACE force field for organic molecules covering 10 elements (H, C, N, O, F, P, S, Cl, Br, I) trained on SPICE quantum-chemistry data. The molecular sibling of MACE-MP-0 and template for later GRACE-OFF; widely used as a drop-in replacement for classical biomolecular force fields.",https://github.com/ACEsuit/mace-off,https://arxiv.org/abs/2312.15211,MIT,active,verified,trained_model,domain_specific,,,,2026-05-10,,false,false,"H, C, N, O, F, P, S, Cl, Br, I",
gnome,GNoME,Invariant,2023,"Merchant, Batzner, Schoenholz, Aykol, Cheon, Cubuk (Google DeepMind)","Graph Networks for Materials Exploration — published in Nature 624, 80 (2023), demonstrated discovery of 2.2M new crystal structures (380k stable) via active-learning-coupled NNP-driven materials search. Established graph-network MLIPs as a viable engine for autonomous crystal discovery at scale.",https://github.com/google-deepmind/materials_discovery,https://www.nature.com/articles/s41586-023-06735-9,Apache-2.0,maintained,verified,trained_model,universal_foundation,,,,2026-05-10,,false,false,all elements covered by Materials Project,
mace_mp0,MACE-MP-0,Equivariant,2024,"Batatia, Benner, Chiang, Elena, Kovács et al.","First MACE foundation model — a single MACE-architecture potential trained on the Materials Project trajectory dataset (MPtrj) covering 89 elements. Demonstrated broadly transferable accuracy across inorganic crystals, surfaces, defects, and molecular crystals; the reference universal MACE model and ancestor of MACE-Osaka26 / MACE-MH-1 / MACE-Magnetic / MACE-POLAR-1.",https://github.com/ACEsuit/mace-foundations,https://arxiv.org/abs/2401.00096,MIT,active,partially_verified,trained_model,universal_foundation,,,,2026-05-10,,false,false,all elements covered by MPtrj (~89 elements),
mpnice,MPNICE,Invariant,2025,Weber et al. (Schrödinger Inc. / Columbia University),"Message Passing Network with Iterative Charge Equilibration: an invariant message-passing MLFF that decomposes the total energy into atom-centred contributions and, after every message-passing block, predicts atomic partial charges via a charge-equilibration (Qeq) approximation that feeds back into the next block. Explicit long-range Coulomb electrostatics on top of the equilibrated charges captures polarisation, charge transfer, and multiple oxidation states while remaining 5-20x faster than comparable-accuracy models. Released with pre-trained MPNICE models spanning 89 elements for organic liquids, molecular crystals, and bulk inorganic systems.",,https://arxiv.org/abs/2505.06462,proprietary,active,verified,architecture,multi_domain,,,,2026-05-13,,true,false,all elements up to Z=94 (89-element pretrained set),
omni_p1,OMNI-P1,Descriptor,2025,Chen & Dral (Xiamen University),"First-ever universal interatomic potential that simultaneously learns and predicts at multiple quantum-chemical levels of theory through a multi-fidelity AIO-ANI training strategy. Combines low- and high-level reference data (semiempirical, DFT, and coupled cluster) into a single network so the same model can deliver predictions across QC levels of organic chemistry with accuracy comparable to GFN2-xTB and double-zeta DFT, while being orders of magnitude faster. Released as part of the MLatom ecosystem with model weights and code in the dralgroup/aio-ani repository; the immediate predecessor to OMNI-P2x for excited states.",https://github.com/dralgroup/aio-ani,https://doi.org/10.1021/acs.jctc.5c00858,MIT,active,verified,trained_model,domain_specific,,,,2026-05-13,,false,false,"H, C, N, O",
geodite,Geodite,Equivariant,2026,"Reschützegger, Aykent, Perin, Nunes, Cipcigan, Ferreira, Steiner et al. (IBM Research / U. São Paulo / Politecnico Milano)","Equivariant message-passing interatomic potential that replaces Clebsch-Gordan tensor products with cheaper geometric operations while keeping E(3) equivariance, and bakes in physical priors (ZBL short-range repulsion, smooth attenuation) so the learned potential energy surface stays smooth and well-behaved across the entire bond-length range. The Geodite-MP variant is trained on the Materials Project trajectory dataset (~160k inorganic crystal structures) and matches the accuracy of leading tensor-product foundation potentials on stability prediction, phonon-derived properties, thermal conductivity, and nanosecond MD, while running 3-5x faster than models with comparable accuracy.",,https://arxiv.org/abs/2601.15492,MIT,active,verified,architecture,universal_foundation,,,,2026-05-13,,false,false,all elements covered by MPtrj (~89 elements),
lorem,LOREM,Equivariant,2026,"Rumiantsev, Langer, Sodjargal, Ceriotti, Loche (EPFL lab-cosmo)","Equivariant message-passing interatomic potential built around equivariant — rather than scalar — charges for long-range interactions. Unlike standard cutoff-based MLIPs that fail to capture electrostatics, dispersion, or electron delocalisation, LOREM propagates equivariant charges through a long-range message-passing mechanism that captures orientation-dependent interactions without requiring per-dataset tuning of interaction cutoffs or message-passing depth. Implemented in JAX/Flax on top of e3x and jax-pme, LOREM is competitive with or surpasses prior scalar-charge long-range MLIPs across long-range benchmark datasets. Accepted at TMLR.",https://github.com/lab-cosmo/lorem-jax,https://arxiv.org/abs/2507.19382,BSD-3-Clause,active,verified,architecture,unknown,,,,2026-05-17,,true,false,—,
nemp,NEMP,Equivariant,2026,Zhang & Guo (University of New Mexico),"Node-equivariant message-passing graph neural network that reformulates equivariant message passing from edges to nodes: rather than computing a tensor product between every edge and its neighbour node, NEMP constructs an expressive equivariant structure via a single tensor product between the central node and a virtual summed node encoding its neighbours. This reduces the cost of the equivariant message-passing step from the number of neighbour pairs to the number of central atoms, achieving 1–2 orders of magnitude reduction in memory and compute over edge-equivariant baselines while matching or exceeding accuracy across molecules, extended systems, and universal-potential benchmarks. Published in Chemical Science (RSC, 2026).",https://github.com/zhangylch/NEMP,https://arxiv.org/abs/2508.16086,,active,verified,architecture,unknown,,,,2026-05-17,,false,false,—,
